Year,State,Population,AVG Price
2008,GA,6975992,$137130.6461
2008,HI,1085104,$456324.158
2008,IA,1367577,$124819.7801
2008,ID,1051731,$213388.5556
2008,IL,1795254,$206318.8393
2008,IN,3372395,$123322.1978
2008,KS,1070136,$156475.5196
2008,KY,871264,$96915.6153
2008,LA,3675827,$147594.0058
2008,MA,1039677,$348074.0806
2008,MD,2781740,$339377.3951
2008,ME,775847,$194300.7081
2008,MI,8062207,$129776.9462
2008,MN,485809,$202402.6663
2008,MO,935554,$163476.3253
2008,MS,1120840,$80322.6648
2008,MT,351441,$228447.7698
2008,NC,5335631,$166222.8306
2008,NE,367048,$128091.4693
2008,NH,399556,$235331.2791
2008,NJ,890421,$374839.9062
2008,NM,1332847,$211982.5437
2008,NV,2386793,$347861.7521
2008,NY,5570935,$299620.8648
2008,OH,6886229,$134444.1646
2008,OK,2316181,$73290.0152
2008,OR,1371739,$260759.2867
2008,PA,6260953,$179782.054
2008,SC,3002953,$150200.5061
2008,SD,344946,$146774.5239
2008,TN,3030718,$109740.9581
2008,TX,21219667,$176856.3312
2008,UT,2265693,$282929.1957
2008,VA,2322794,$269640.71
2008,VT,209332,$200715.455
2008,WA,5404115,$331014.9879
2008,WI,3715445,$208833.3239
2008,WV,620138,$98403.4289
2008,WY,162759,$177485.6807
2009,AK,469800,$206236.8964
2009,AL,3494457,$119370.3738
2009,AR,1440517,$93766.3164
2009,AZ,5997329,$178449.2994
2009,CA,36117202,$359349.4897
2009,CO,4284191,$239113.2628
2009,CT,3253680,$309849.9479
2009,DE,160081,$242729.923
2009,FL,17971506,$188121.7671
2009,GA,7073984,$125354.682
2009,HI,1096570,$410139.6589
2009,IA,1383750,$114177.4423
2009,ID,1068301,$189046.7111
2009,IL,1804644,$170641.6061
2009,IN,3402678,$113272.0881
2009,KS,1084655,$137663.186
2009,KY,882520,$93908.493
2009,LA,3728856,$132768.2463
2009,MA,1039337,$328046.4141
2009,MD,2799291,$300152.4146
2009,ME,776328,$181701.5429
2009,MI,8028699,$113968.278
2009,MN,490322,$174487.232
2009,MO,945795,$144962.6905
2009,MS,1129604,$108538.5229
2009,MT,354972,$214448.4665
2009,NC,5426553,$155681.99
2009,ND,109009,$155633.5312
2009,NE,371689,$121499.6426
2009,NH,400148,$220047.3964
2009,NJ,893206,$347019.203
2009,NM,1354413,$187040.2029
2009,NV,2416595,$246742.2613
2009,NY,5580451,$280281.7336
